stock_no,certificate_no,lab,Certificate,shape,size,color,clarity,cut,polish,symmetry,fluorescence,rap,discount,pr_ct,total_price,measurements,total_depth,table,link,key_to_symbols
G15200408,6312654984,GIA,View Cert,ROUND,0.4,G,VS2,VG,EX,VG,NON,2700,-35,1755,702,4.64*4.59*2.98,64.6,60,SEGOMA LINK,"Crystal, Cloud"
F106206768,6312199263,GIA,View Cert,ROUND,0.4,G,VS2,GD,EX,F,FNT,2700,-44,1512,604.8,4.58*4.49*2.97,65.4,59,,"Crystal, Feather, Cloud, Cavity"
F106206696,2314158353,GIA,View Cert,ROUND,0.4,G,SI1,VG,VG,GD,FNT,2300,-38,1426,570.4,4.64*4.55*2.95,64.2,57,SEGOMA LINK,Crystal
F106207145,7318235807,GIA,View Cert,ROUND,0.4,G,SI1,GD,EX,VG,FNT,2300,-42,1334,533.6,4.51*4.46*2.97,66.3,59,SEGOMA LINK,"Crystal, Cloud"
F106207265,6311236115,GIA,View Cert,ROUND,0.4,G,SI1,EX,EX,EX,FNT,2300,-34,1518,607.2,4.73*4.7*2.95,62.6,55,SEGOMA LINK,Feather
F80B200598,1298740012,GIA,View Cert,ROUND,0.4,G,SI1,VG,EX,VG,MED,2300,-44,1288,515.2,4.64*4.58*2.96,64.2,55,SEGOMA LINK,Crystal
F94B204876,6301749582,GIA,View Cert,ROUND,0.4,G,SI1,VG,EX,VG,NON,2300,-31,1587,634.8,4.65*4.61*2.93,63.3,58,SEGOMA LINK,Feather
G15200359,2316637591,GIA,View Cert,ROUND,0.4,G,SI1,VG,VG,VG,NON,2300,-32,1564,625.6,4.65*4.62*2.88,62.1,59,SEGOMA LINK,"Crystal, Feather"
F97205179,345853552,IGI,View Cert,ROUND,0.4,G,SI1,GD,VG,VG,NON,2300,-50,1150,460,4.52*4.56*2.99,65.8,57.5,SEGOMA LINK,
G15200635,2316782760,GIA,View Cert,ROUND,0.4,G,SI1,EX,EX,EX,NON,2300,-27,1679,671.6,4.76*4.73*2.9,61.1,59,SEGOMA LINK,"Crystal, Cloud, Feather"
F97205078,6302824291,GIA,View Cert,ROUND,0.4,G,SI2,GD,EX,VG,NON,2000,-39,1220,488,4.55*4.49*2.96,65.6,61,,"Knot, Cloud"
F97204613,6302720132,GIA,View Cert,ROUND,0.4,G,SI2,EX,EX,EX,NON,2000,-35,1300,520,4.71*4.67*2.96,63.1,55,SEGOMA LINK,"Feather, Crystal"
F98205330,3305887640,GIA,View Cert,ROUND,0.4,G,SI2,VG,VG,VG,NON,2000,-33,1340,536,4.81*4.76*2.82,58.8,63,SEGOMA LINK,Feather
F98205537,2306947799,GIA,View Cert,ROUND,0.4,G,SI2,EX,EX,EX,NON,2000,-32,1360,544,4.79*4.76*2.89,60.4,59,SEGOMA LINK,"Cloud, Crystal, Feather"
F93203692,2306389790,GIA,View Cert,ROUND,0.4,G,SI2,GD,VG,VG,MED,2000,-44,1120,448,4.65*4.6*2.86,61.9,63,SEGOMA LINK,"Feather, Twinning Wisp"
F93203783,2306429972,GIA,View Cert,ROUND,0.4,G,SI2,EX,VG,VG,NON,2000,-39,1220,488,4.81*4.76*2.87,59.9,59,SEGOMA LINK,"Cloud, Feather"
F93203819,3305419544,GIA,View Cert,ROUND,0.4,G,SI2,EX,VG,VG,FNT,2000,-39,1220,488,4.71*4.69*2.96,62.9,55,SEGOMA LINK,"Twinning Wisp, Feather"
F84203031,3305210069,GIA,View Cert,ROUND,0.4,G,SI2,EX,EX,EX,FNT,2000,-42,1160,464,4.69*4.65*2.92,62.6,58,SEGOMA LINK,Crystal
F111207292,6312428268,GIA,View Cert,ROUND,0.4,G,SI2,GD,EX,GD,MED,2000,-43,1140,456,4.53*4.48*3.04,67.5,53,,Crystal
F105206705,3315158290,GIA,View Cert,ROUND,0.4,G,SI2,VG,VG,GD,FNT,2000,-37,1260,504,4.64*4.54*2.97,64.7,56,SEGOMA LINK,Twinning Wisp
F105206739,7313198183,GIA,View Cert,ROUND,0.4,G,SI2,VG,VG,VG,FNT,2000,-38,1240,496,4.62*4.6*2.97,64.5,56,SEGOMA LINK,Twinning Wisp
F102C206478,7313132952,GIA,View Cert,ROUND,0.4,G,SI2,GD,VG,GD,VST,2000,-46,1080,432,4.72*4.67*2.88,61.4,58,SEGOMA LINK,Feather
F106206939,3315198814,GIA,View Cert,ROUND,0.4,H,VVS1,GD,VG,VG,NON,2800,-39,1708,683.2,4.55*4.5*2.98,65.8,60,,"Pinpoint, Feather"
F84203103,350873044,IGI,View Cert,ROUND,0.4,H,VVS2,VG,EX,VG,NON,2700,-43,1539,615.6,4.56*4.65*2.96,64,57,SEGOMA LINK,
F84202807,1308210174,GIA,View Cert,ROUND,0.4,H,VVS2,VG,EX,VG,NON,2700,-38,1674,669.6,4.62*4.57*2.96,64.4,55,SEGOMA LINK,"Pinpoint, Feather, Natural"
F113207396,6312426412,GIA,View Cert,ROUND,0.4,H,VS1,VG,VG,VG,NON,2600,-32,1768,707.2,4.63*4.57*2.97,64.7,60,SEGOMA LINK,"Crystal, Feather, Pinpoint"
F79A200452,6292688897,GIA,View Cert,ROUND,0.4,H,VS1,VG,EX,GD,NON,2600,-37,1638,655.2,4.65*4.59*2.92,63.3,61,SEGOMA LINK,"Indented Natural, Feather, Pinpoint"
G2200175,2316537007,GIA,View Cert,ROUND,0.4,H,VS1,EX,EX,EX,STG,2600,-35,1690,676,4.76*4.75*2.91,61.2,60,SEGOMA LINK,"Crystal, Internal Graining, Needle"
F99205712,6302989589,GIA,View Cert,ROUND,0.4,H,VS2,VG,EX,GD,FNT,2500,-36,1600,640,4.64*4.59*2.93,63.5,56,SEGOMA LINK,"Crystal, Cavity, Manufacturing Remnant, Indented Natural"
F106206805,5313199241,GIA,View Cert,ROUND,0.4,H,VS2,GD,VG,GD,FNT,2500,-40,1500,600,4.6*4.51*2.94,64.6,58,SEGOMA LINK,"Needle, Feather"
F69C231164,5296606082,GIA,View Cert,ROUND,0.4,H,VS2,EX,VG,VG,NON,2500,-35,1625,650,4.71*4.68*2.94,62.5,55,SEGOMA LINK,"Feather, Crystal, Cloud"
F93203698,7303389808,GIA,View Cert,ROUND,0.4,H,VS2,GD,EX,VG,FNT,2500,-40,1500,600,4.82*4.76*2.76,57.6,62,SEGOMA LINK,"Cloud, Crystal, Feather"
F84202855,6305217575,GIA,View Cert,ROUND,0.4,H,SI1,GD,EX,GD,NON,2200,-43,1254,501.6,4.83*4.79*2.74,56.9,62,,"Cloud, Crystal, Feather"
F93203573,1305333518,GIA,View Cert,ROUND,0.4,H,SI1,VG,EX,VG,NON,2200,-38,1364,545.6,4.63*4.59*2.95,63.9,57,SEGOMA LINK,"Crystal, Feather, Cloud"
F41224822,6285590695,GIA,View Cert,ROUND,0.4,H,SI1,EX,EX,EX,NON,2200,-35,1430,572,4.79*4.77*2.87,60.1,57,SEGOMA LINK,CRYSTAL
F97204892,7308750067,GIA,View Cert,ROUND,0.4,H,SI1,VG,EX,GD,NON,2200,-34,1452,580.8,4.64*4.56*2.97,64.5,59,SEGOMA LINK,"Crystal, Cloud"
F97205175,1309824301,GIA,View Cert,ROUND,0.4,H,SI2,VG,EX,GD,NON,1900,-34,1254,501.6,4.58*4.53*2.96,64.9,58,SEGOMA LINK,"Crystal, Cloud"
F93203628,1303344306,GIA,View Cert,ROUND,0.4,H,SI2,VG,EX,GD,NON,1900,-34,1254,501.6,4.66*4.59*2.98,64.4,57,SEGOMA LINK,"Twinning Wisp, Feather"
F93203747,2306418018,GIA,View Cert,ROUND,0.4,H,SI2,VG,VG,VG,FNT,1900,-37,1197,478.8,4.64*4.58*2.98,64.7,55,SEGOMA LINK,"Feather, Twinning Wisp"
F106206971,3315198770,GIA,View Cert,ROUND,0.4,H,SI2,F,VG,VG,NON,1900,-39,1159,463.6,4.47*4.42*3.11,69.9,58,,Crystal
F103A207472,5313475305,GIA,View Cert,ROUND,0.4,H,SI2,EX,EX,EX,NON,1900,-31,1311,524.4,4.77*4.75*2.92,61.4,55,SEGOMA LINK,"Crystal, Feather"
G1200048,6312475314,GIA,View Cert,ROUND,0.4,I,VS1,VG,VG,GD,NON,2200,-35,1430,572,4.64*4.56*2.97,64.5,55,SEGOMA LINK,"Cavity, Feather, Indented Natural, Pinpoint"
F83202013,1308076446,GIA,View Cert,ROUND,0.4,I,VS2,VG,EX,VG,NON,2100,-38,1302,520.8,4.71*4.65*2.97,63.4,60,SEGOMA LINK,"Crystal, Cloud, Feather"
F60A228609,6291147558,GIA,View Cert,ROUND,0.4,I,SI1,VG,VG,GD,NON,2000,-36,1280,512,4.63*4.56*2.93,63.8,61,SEGOMA LINK,FEATHER
F106207111,6315235787,GIA,View Cert,ROUND,0.4,I,SI1,VG,VG,GD,MED,2000,-40,1200,480,4.7*4.6*2.9,62.4,63,SEGOMA LINK,Feather
F105206565,6311146413,GIA,View Cert,ROUND,0.4,I,SI2,EX,EX,EX,NON,1800,-28,1296,518.4,4.76*4.74*2.91,61.2,58,SEGOMA LINK,Feather
F84202558,6305169987,GIA,View Cert,ROUND,0.4,J,VVS2,GD,VG,VG,NON,2000,-43,1140,456,4.55*4.51*2.98,65.8,56,,"Pinpoint, Indented Natural, Feather"
F99205802,6302981952,GIA,View Cert,ROUND,0.4,J,VVS2,EX,EX,EX,MED,2000,-39,1220,488,4.79*4.75*2.84,59.5,61,SEGOMA LINK,"Cloud, Pinpoint, Manufacturing Remnant"
F106207004,6311221472,GIA,View Cert,ROUND,0.4,J,VS1,GD,EX,VG,STG,1900,-42,1102,440.8,4.55*4.49*3.01,66.6,58,,"Crystal, Feather, Indented Natural, Needle"
F105206864,6315199255,GIA,View Cert,ROUND,0.4,J,VS2,VG,EX,GD,FNT,1800,-36,1152,460.8,4.68*4.62*2.89,62.1,61,SEGOMA LINK,"Feather, Cavity"
F106207009,7311221448,GIA,View Cert,ROUND,0.4,J,SI1,F,EX,GD,FNT,1700,-43,969,387.6,4.45*4.37*3.08,69.8,55,,"Indented Natural, Crystal"
F102C206162,5316087984,GIA,View Cert,ROUND,0.4,J,SI2,GD,EX,GD,MED,1600,-40,960,384,4.55*4.46*3.01,66.7,64,,Feather
F84203206,2304281032,GIA,View Cert,ROUND,0.4,J,SI2,VG,VG,VG,NON,1600,-39,976,390.4,4.65*4.61*2.91,62.9,60,SEGOMA LINK,Crystal
F113207352,1317426384,GIA,View Cert,ROUND,0.4,J,SI2,VG,EX,VG,NON,1600,-36,1024,409.6,4.68*4.62*2.93,62.9,61,SEGOMA LINK,Crystal
F80B200711,2297767322,GIA,View Cert,ROUND,0.4,K,VVS1,VG,EX,GD,NON,1900,-40,1140,456,4.64*4.56*2.94,63.9,56,SEGOMA LINK,Pinpoint
F84202537,6301167714,GIA,View Cert,ROUND,0.4,K,VVS1,GD,VG,VG,NON,1900,-46,1026,410.4,4.59*4.54*2.98,65.3,60,,"Pinpoint, Cloud, Manufacturing Remnant, Feather"
F79A200497,6292689525,GIA,View Cert,ROUND,0.4,K,VVS2,VG,VG,VG,STG,1800,-45,990,396,4.64*4.58*2.94,63.7,57,SEGOMA LINK,"Indented Natural, Manufacturing Remnant, Cloud, Pinpoint"
F102C206269,1313093425,GIA,View Cert,ROUND,0.4,K,VVS2,VG,VG,GD,FNT,1800,-41,1062,424.8,4.81*4.76*2.82,58.9,60,SEGOMA LINK,"Cloud, Pinpoint, Feather, Indented Natural"
F103A207492,1315525879,GIA,View Cert,ROUND,0.4,K,VS1,EX,EX,EX,FNT,1700,-32,1156,462.4,4.77*4.74*2.9,61,59,SEGOMA LINK,Feather
F47225193,6281627040,GIA,View Cert,ROUND,0.4,K,VS2,VG,GD,GD,NON,1600,-38,992,396.8,4.59*4.56*2.93,64.1,57,SEGOMA LINK,"CRYSTAL, CLOUD, INDENTED NATURAL"
F102C206238,1318073264,GIA,View Cert,ROUND,0.4,K,SI1,GD,VG,GD,FNT,1500,-44,840,336,4.64*4.58*3.01,65.2,60,,"Crystal, Feather"
F76B230487,7291408023,GIA,View Cert,ROUND,0.4,M,VVS2,VG,VG,VG,NON,1500,-42,870,348,4.64*4.6*2.92,63.2,62,,"Cloud, Pinpoint"
F106207257,5313235588,GIA,View Cert,ROUND,0.4,M,VS2,GD,VG,VG,STG,1300,-49,663,265.2,4.58*4.52*2.94,64.6,55,,Feather
F39223990,6285522156,GIA,View Cert,ROUND,0.4,N,VVS2,EX,EX,EX,NON,1500,-42,870,348,4.71*4.69*2.93,62.5,57,,"PINPOINT, FEATHER"
F58331257,7298630881,GIA,View Cert,MARQUISE,0.4,D,VS2,,VG,GD,NON,2500,-37,1575,630,8.07*3.83*2.17,56.5,57,SEGOMA LINK,Feather
F91303352,1309287519,GIA,View Cert,MARQUISE,0.4,D,SI1,,VG,VG,NON,2000,-36,1280,512,8.24*3.83*2.18,56.9,68,SEGOMA LINK,Feather
F95303914,7308425669,GIA,View Cert,MARQUISE,0.4,E,SI2,,EX,VG,NON,1700,-32,1156,462.4,7.05*3.83*2.44,63.5,57,SEGOMA LINK,Feather
F84303073,6301255407,GIA,View Cert,MARQUISE,0.4,K,VVS1,,VG,VG,NON,1300,-35,845,338,7.12*3.93*2.39,60.9,59,SEGOMA LINK,"Cloud, Pinpoint, Feather"
F94304146,6305522602,GIA,View Cert,SQUARE MOD.,0.4,D,VVS1,,EX,VG,NON,3200,-39,1952,780.8,4.15*3.99*2.9,72.5,75,SEGOMA LINK,Pinpoint
F94304098,6305509737,GIA,View Cert,SQUARE MOD.,0.4,D,VS1,,VG,GD,NON,2700,-35,1755,702,4.19*4.1*2.92,71.3,72,SEGOMA LINK,"Feather, Pinpoint"
F84302484,2304167029,GIA,View Cert,SQUARE MOD.,0.4,D,VS2,,EX,VG,NON,2500,-40,1500,600,4.03*3.94*2.92,74.2,73,SEGOMA LINK,"Knot, Cloud"
F79A301496,2297986092,GIA,View Cert,SQUARE MOD.,0.4,E,VVS1,,VG,VG,FNT,2900,-43,1653,661.2,4.07*4.04*3.01,74.5,78,SEGOMA LINK,Cavity
F98304679,1305735448,GIA,View Cert,SQUARE MOD.,0.4,E,VS2,,EX,GD,NON,2300,-37,1449,579.6,4.15*4.02*3,74.7,73,SEGOMA LINK,Feather
F84302892,3305207388,GIA,View Cert,PEAR,0.4,D,VVS1,,EX,VG,NON,3200,-38,1984,793.6,6.22*4.08*2.58,63.3,60,SEGOMA LINK,"Chip, Feather, Surface Graining"
F82301333,1295937708,GIA,View Cert,PEAR,0.4,E,SI1,,EX,GD,NON,1900,-37,1197,478.8,6.24*4.2*2.5,59.5,59,SEGOMA LINK,"Cloud, Crystal, Feather"
G15300529,6312738081,GIA,View Cert,PEAR,0.4,F,VS2,,EX,VG,NON,2200,-22,1716,686.4,6.25*4.05*2.58,63.6,55,SEGOMA LINK,"Crystal, Cloud, Feather"
F55328183,7298043182,GIA,View Cert,MARQUISE,0.38,D,VVS2,,VG,VG,MED,2300,-34,1518,576.84,7.28*3.78*2.28,60.5,63,SEGOMA LINK,"PINPOINT, INDENTED NATURAL, SURFACE GRAINING"
F99305932,1317038095,GIA,View Cert,MARQUISE,0.38,D,VS1,,EX,VG,NON,2000,-24,1520,577.6,7.76*3.62*2.31,63.9,55,SEGOMA LINK,"Crystal, Pinpoint"
F89304096,7308523255,GIA,View Cert,MARQUISE,0.38,E,VVS1,,VG,VG,NON,2300,-28,1656,629.28,7.91*3.7*2.18,59,62,SEGOMA LINK,Feather
F69330610,1299405199,GIA,View Cert,PEAR,0.38,H,SI1,,VG,VG,NON,1300,-38,806,306.28,6.1*4.29*2.4,55.8,63,SEGOMA LINK,"Crystal, Cloud, Needle"
G11200422,3315693721,GIA,View Cert,ROUND,0.37,E,VS1,EX,EX,EX,MED,2600,-38,1612,596.44,4.67*4.65*2.84,61,59,SEGOMA LINK,"Cloud, Needle"
F97205151,5303802830,GIA,View Cert,ROUND,0.37,E,VS2,EX,EX,EX,NON,2500,-34,1650,610.5,4.64*4.63*2.89,62.4,55,SEGOMA LINK,Crystal
F103A207518,6312551302,GIA,View Cert,ROUND,0.36,G,VS2,EX,EX,EX,FNT,2300,-32,1564,563.04,4.63*4.61*2.82,61,56,SEGOMA LINK,"Crystal, Feather"
G2300300,1317608822,GIA,View Cert,MARQUISE,0.36,D,VVS1,,EX,VG,NON,2600,-25,1950,702,7.68*3.79*2.22,58.6,58,SEGOMA LINK,"Internal Graining, Feather"
F109D306527,1318157313,GIA,View Cert,SQUARE MOD.,0.36,E,VVS2,,VG,VG,NON,2000,-23,1540,554.4,4.05*3.94*2.75,69.7,66,SEGOMA LINK,Pinpoint
CS08-48B,6302884972,GIA,View Cert,Round,0.35,D,VS1,EX,EX,EX,F,2700,-32.9,1811.7,634.1,4.49-4.52x2.81,62.3,58,Image/Video,"Crystal,  Pinpoint,  Needle"
CS08-48A,2307867736,GIA,View Cert,Round,0.35,D,VS2,VG,EX,EX,F,2600,-33.7,1723.8,603.33,4.56-4.58x2.73,59.8,60,Image/Video,Crystal
JD-X-16,6312496421,GIA,View Cert,ROUND,0.35,G,SI2,EX,EX,EX,FAINT,1800,-38,1116,390.6,4.46-4.49x2.80,62.6,58,Image/Video,
F103A207465,1313551309,GIA,View Cert,ROUND,0.35,D,SI2,EX,EX,EX,FNT,2100,-39,1281,448.35,4.59*4.57*2.78,60.6,59,SEGOMA LINK,Crystal
F60228821,6292132200,GIA,View Cert,ROUND,0.35,D,SI2,EX,EX,EX,NON,2100,-40,1260,441,4.6*4.58*2.77,60.3,59,SEGOMA LINK,Crystal
F95203760,6302417914,GIA,View Cert,ROUND,0.35,E,VS1,EX,EX,EX,FNT,2600,-39,1586,555.1,4.49*4.47*2.82,63,56,SEGOMA LINK,"Crystal, Needle, Pinpoint"
F97205143,2304802770,GIA,View Cert,ROUND,0.35,E,VS2,EX,EX,EX,NON,2500,-34,1650,577.5,4.53*4.51*2.82,62.4,57,SEGOMA LINK,"Cloud, Feather"
F97205125,3305802849,GIA,View Cert,ROUND,0.35,F,VS2,EX,EX,EX,NON,2400,-34,1584,554.4,4.49*4.46*2.82,63,57,SEGOMA LINK,"Cloud, Crystal"
F95203830,2306420244,GIA,View Cert,ROUND,0.35,G,VS2,EX,EX,EX,NON,2300,-35,1495,523.25,4.49*4.47*2.8,62.5,57,SEGOMA LINK,Crystal
F97204995,7308785163,GIA,View Cert,ROUND,0.35,H,SI1,EX,EX,EX,FNT,2000,-37,1260,441,4.58*4.56*2.79,61.1,57,SEGOMA LINK,Cloud
F84203035,7303210084,GIA,View Cert,ROUND,0.35,H,SI2,EX,EX,EX,NON,1700,-36,1088,380.8,4.51*4.48*2.82,62.6,57,SEGOMA LINK,Crystal
F95203879,1303421619,GIA,View Cert,ROUND,0.35,I,VS2,EX,EX,EX,MED,1900,-38,1178,412.3,4.5*4.47*2.82,62.9,56,SEGOMA LINK,"Feather, Crystal, Cloud, Cavity"
F76A230795,6291490051,GIA,View Cert,ROUND,0.35,K,VVS2,VG,EX,VG,NON,1600,-40,960,336,4.42*4.38*2.82,64.1,61,SEGOMA LINK,"Feather, Manufacturing Remnant, Indented Natural"
F106207271,2316235604,GIA,View Cert,ROUND,0.35,K,VS2,EX,EX,EX,FNT,1400,-32,952,333.2,4.52*4.49*2.84,63,55,SEGOMA LINK,"Crystal, Cloud"
F82302250,1305101900,GIA,View Cert,MARQUISE,0.35,D,VVS2,,VG,VG,NON,2300,-30,1610,563.5,7.02*3.85*2.34,60.9,59,SEGOMA LINK,"Feather, Pinpoint"
F43327299,1287937729,GIA,View Cert,MARQUISE,0.35,G,VVS1,,VG,VG,STG,1800,-40,1080,378,6.96*3.78*2.35,62.2,64,SEGOMA LINK,"PINPOINT, FEATHER, CAVITY"
F94B305552,6302944017,GIA,View Cert,MARQUISE,0.35,G,VVS1,,VG,VG,NON,1800,-25,1350,472.5,7.78*3.63*2.16,59.5,60,SEGOMA LINK,"Feather, Cavity"
F73200165,3295558758,GIA,View Cert,ROUND,0.34,D,VS1,EX,EX,EX,NON,2700,-37,1701,578.34,4.49*4.46*2.82,63,57,SEGOMA LINK,"Crystal, Cloud, Needle, Pinpoint"
F100205877,2317029154,GIA,View Cert,ROUND,0.34,D,SI1,EX,EX,EX,NON,2400,-28,1728,587.52,4.47*4.44*2.8,62.8,57,SEGOMA LINK,Feather
G15200544,2317736974,GIA,View Cert,ROUND,0.34,D,SI1,EX,EX,EX,NON,2400,-29,1704,579.36,4.52*4.48*2.74,61,61,SEGOMA LINK,Crystal
G15200593,6315753446,GIA,View Cert,ROUND,0.34,E,VS1,EX,EX,EX,NON,2600,-33,1742,592.28,4.52*4.5*2.78,61.5,59,SEGOMA LINK,"Crystal, Cloud, Feather, Needle"
F98A205413,1305889911,GIA,View Cert,ROUND,0.34,E,VS1,EX,EX,EX,NON,2600,-35,1690,574.6,4.48*4.46*2.8,62.7,59,SEGOMA LINK,"Feather, Pinpoint"
F84202815,6305211329,GIA,View Cert,ROUND,0.34,E,VS1,EX,EX,EX,NON,2600,-38,1612,548.08,4.54*4.52*2.7,59.7,60,SEGOMA LINK,"Crystal, Needle, Pinpoint"
F103A207546,2316588653,GIA,View Cert,ROUND,0.34,E,SI2,EX,EX,EX,NON,2000,-29,1420,482.8,4.51*4.5*2.77,61.5,56,SEGOMA LINK,Feather
F102C206386,2316120327,GIA,View Cert,ROUND,0.34,F,VS2,EX,EX,EX,NON,2400,-34,1584,538.56,4.57*4.56*2.74,60.1,56,SEGOMA LINK,Cloud
F103A207388,7311504692,GIA,View Cert,ROUND,0.34,F,SI2,EX,EX,EX,NON,1900,-35,1235,419.9,4.6*4.58*2.75,59.8,56,SEGOMA LINK,"Crystal, Feather"
F93203459,6302314587,GIA,View Cert,ROUND,0.34,G,IF,EX,EX,EX,FNT,2700,-44,1512,514.08,4.47*4.44*2.79,62.6,57,SEGOMA LINK,Minor Details of Polish
F95203766,6301420646,GIA,View Cert,ROUND,0.34,G,VVS2,EX,EX,EX,NON,2500,-34,1650,561,4.47*4.45*2.78,62.4,57,SEGOMA LINK,"Pinpoint, Feather, Cloud"
G15200521,7311736985,GIA,View Cert,ROUND,0.34,G,SI1,EX,EX,EX,NON,2100,-30,1470,499.8,4.47*4.44*2.79,62.7,58,SEGOMA LINK,"Crystal, Cloud, Knot"
F97205870,3315029132,GIA,View Cert,ROUND,0.34,I,SI2,EX,EX,EX,FNT,1600,-38,992,337.28,4.46*4.43*2.78,62.6,57,SEGOMA LINK,"Cloud, Crystal, Feather"
F83201779,7302061235,GIA,View Cert,ROUND,0.34,J,SI1,EX,EX,EX,NON,1500,-32,1020,346.8,4.63*4.6*2.73,59.2,59,SEGOMA LINK,Crystal
F106207238,6315236111,GIA,View Cert,ROUND,0.34,L,VVS1,EX,EX,EX,FNT,1600,-38,992,337.28,4.46*4.44*2.79,62.7,57,SEGOMA LINK,"Indented Natural, Feather"
F94A304361,2307607464,GIA,View Cert,MARQUISE,0.34,D,SI1,,EX,GD,NON,1700,-32,1156,393.04,7.2*3.75*2.18,58.1,66,SEGOMA LINK,"Crystal, Feather"
F84302614,1303195456,GIA,View Cert,MARQUISE,0.34,D,SI1,,VG,VG,NON,1700,-38,1054,358.36,6.68*3.64*2.34,64.1,57,SEGOMA LINK,"Crystal, Feather"
F89304095,2306527264,GIA,View Cert,MARQUISE,0.34,E,VVS1,,VG,VG,NON,2300,-28,1656,563.04,7.54*3.52*2.17,61.6,59,SEGOMA LINK,Feather
G6B300491,6312705416,GIA,View Cert,MARQUISE,0.34,E,VVS2,,VG,VG,MED,2000,-26,1480,503.2,7.35*3.67*2.27,61.9,59,SEGOMA LINK,Pinpoint
G8300432,1313694956,GIA,View Cert,PEAR,0.34,D,VVS2,,EX,VG,MED,2300,-42,1334,453.56,6.09*3.96*2.44,61.4,60,SEGOMA LINK,Feather
CS08-24,1308884943,GIA,View Cert,Round,0.33,E,VVS2,EX,EX,EX,N,2700,-33.1,1806.3,596.08,4.46-4.48x2.77,62,57,Image/Video,Pinpoint
F97205871,6312036146,GIA,View Cert,ROUND,0.33,E,I1,VG,EX,VG,NON,1500,-44,840,277.2,4.46*4.43*2.67,60.2,63,SEGOMA LINK,Crystal
G15200680,6312801307,GIA,View Cert,ROUND,0.33,J,VVS2,EX,EX,EX,NON,1900,-26,1406,463.98,4.44*4.41*2.73,61.7,58,SEGOMA LINK,"Feather, Cloud, Pinpoint"
F106207283,7312236124,GIA,View Cert,ROUND,0.33,D,IF,EX,EX,EX,NON,3900,-34,2574,849.42,4.44*4.41*2.77,62.4,58,SEGOMA LINK,Minor Details of Polish
F89204081,6302507465,GIA,View Cert,ROUND,0.33,D,IF,EX,EX,EX,NON,3900,-34,2574,849.42,4.5*4.47*2.77,61.7,58,SEGOMA LINK,Minor Details of Polish
F73200103,6292489393,GIA,View Cert,ROUND,0.33,D,VVS1,EX,EX,EX,NON,3000,-38,1860,613.8,4.41*4.38*2.75,62.5,57,SEGOMA LINK,"Pinpoint, Manufacturing Remnant"
F111207368,6312426054,GIA,View Cert,ROUND,0.33,D,VS1,EX,EX,EX,FNT,2700,-41,1593,525.69,4.48*4.44*2.76,61.8,58,SEGOMA LINK,"Crystal, Pinpoint"
G15200467,1313702500,GIA,View Cert,ROUND,0.33,D,VS1,EX,EX,EX,NON,2700,-30,1890,623.7,4.52*4.49*2.68,59.6,59,SEGOMA LINK,"Crystal, Feather, Needle, Pinpoint"
G15200468,7312702505,GIA,View Cert,ROUND,0.33,D,VS1,EX,EX,EX,NON,2700,-30,1890,623.7,4.46*4.44*2.7,60.6,59,SEGOMA LINK,"Cloud, Feather, Pinpoint"
F104D206278,1319075268,GIA,View Cert,ROUND,0.33,D,VS2,EX,EX,EX,FNT,2600,-40,1560,514.8,4.45*4.42*2.79,62.8,56,SEGOMA LINK,Feather
F102C206476,1315132523,GIA,View Cert,ROUND,0.33,D,VS2,EX,EX,EX,NON,2600,-32,1768,583.44,4.45*4.42*2.76,62.3,58,SEGOMA LINK,Feather
F95203902,7308421491,GIA,View Cert,ROUND,0.33,D,SI2,EX,EX,EX,NON,2100,-37,1323,436.59,4.42*4.4*2.76,62.5,57,SEGOMA LINK,Crystal
G14A200438,6312683906,GIA,View Cert,ROUND,0.33,E,VVS2,EX,EX,EX,FNT,2700,-37,1701,561.33,4.51*4.49*2.7,60,58,SEGOMA LINK,Needle
F95203866,5303429960,GIA,View Cert,ROUND,0.33,E,VS1,EX,EX,EX,NON,2600,-36,1664,549.12,4.43*4.4*2.74,62.1,57,SEGOMA LINK,"Crystal, Cloud, Needle, Pinpoint"
F105206534,6315132851,GIA,View Cert,ROUND,0.33,E,VS1,EX,EX,EX,NON,2600,-35,1690,557.7,4.49*4.46*2.75,61.4,59,SEGOMA LINK,"Cloud, Feather, Pinpoint"
F106207122,1319221690,GIA,View Cert,ROUND,0.33,E,VS2,EX,EX,EX,NON,2500,-34,1650,544.5,4.45*4.42*2.74,61.8,60,SEGOMA LINK,"Crystal, Feather"
F105206363,5316092031,GIA,View Cert,ROUND,0.33,E,VS2,EX,EX,EX,NON,2500,-34,1650,544.5,4.5*4.48*2.71,60.3,59,SEGOMA LINK,"Feather, Cloud"
F38223734,5286413365,GIA,View Cert,ROUND,0.33,E,VS2,EX,EX,EX,NON,2500,-38,1550,511.5,4.46*4.44*2.76,62.1,57,,"Crystal, Feather"
F97205076,1303802813,GIA,View Cert,ROUND,0.33,E,VS2,EX,EX,EX,FNT,2500,-40,1500,495,4.41*4.38*2.77,62.9,57,SEGOMA LINK,"Feather, Crystal, Needle, Knot"
G15200431,2317692877,GIA,View Cert,ROUND,0.33,E,SI1,EX,EX,EX,NON,2300,-29,1633,538.89,4.51*4.48*2.68,59.6,60,SEGOMA LINK,"Cloud, Feather"
